POSTAL_CODE,AREA,TOWN,PROVINCE
5012,Pedada,Ajuy,Iloilo
5012,Pili,Ajuy,Iloilo
5012,Pinantan Diel,Ajuy,Iloilo
5012,Pinantan Elizalde,Ajuy,Iloilo
5012,Pinay Espinosa,Ajuy,Iloilo
5012,Poblacion,Ajuy,Iloilo
5012,Progreso,Ajuy,Iloilo
5012,Puente Bunglas,Ajuy,Iloilo
5012,Punta Buri,Ajuy,Iloilo
5012,Rojas,Ajuy,Iloilo
5012,San Antonio,Ajuy,Iloilo
5012,Santo Rosario,Ajuy,Iloilo
5012,Silagon,Ajuy,Iloilo
5012,Tagubanhan,Ajuy,Iloilo
5012,Taguhangin,Ajuy,Iloilo
5012,Tanduyan,Ajuy,Iloilo
5012,Tipacla,Ajuy,Iloilo
5012,Tubogan,Ajuy,Iloilo
7300,Caddayan,Akbar,Basilan
7300,Linongan,Akbar,Basilan
7300,Lowebato-Bato,Akbar,Basilan
7300,Mangalut,Akbar,Basilan
7300,Manguso,Akbar,Basilan
7300,Paguengan,Akbar,Basilan
7300,Semut,Akbar,Basilan
7300,Upper bato-Bato,Akbar,Basilan
7300,Upper sinangkapan,Akbar,Basilan
7304,Apil-Apil,Al-Barka,Basilan
7304,Bato-Bato,Al-Barka,Basilan
7304,Bohe-Piang,Al-Barka,Basilan
7304,Bucalao,Al-Barka,Basilan
7304,Cambug,Al-Barka,Basilan
7304,Danapah,Al-Barka,Basilan
7304,Guinanta,Al-Barka,Basilan
7304,Kailih,Al-Barka,Basilan
7304,Kinukutan,Al-Barka,Basilan
7304,Kuhon,Al-Barka,Basilan
7304,Kuhon Lennuh,Al-Barka,Basilan
7304,Linuan,Al-Barka,Basilan
7304,Lookbisaya (Kaulungan Island),Al-Barka,Basilan
7304,Macalang,Al-Barka,Basilan
7304,Magcawa,Al-Barka,Basilan
7304,Sangkahan (Kaulungan Island),Al-Barka,Basilan
4333,Angeles,Alabat,Quezon
4333,Bacong,Alabat,Quezon
4333,Balungay,Alabat,Quezon
4333,Barangay 1 (Pob.),Alabat,Quezon
4333,Barangay 2 (Pob.),Alabat,Quezon
4333,Barangay 3 (Pob.),Alabat,Quezon
4333,Barangay 4 (Pob.),Alabat,Quezon
4333,Barangay 5 (Pob.),Alabat,Quezon
4333,Buenavista,Alabat,Quezon
4333,Caglate,Alabat,Quezon
4333,Camagong,Alabat,Quezon
4333,Gordon,Alabat,Quezon
4333,Pambilan Norte,Alabat,Quezon
4333,Pambilan Sur,Alabat,Quezon
4333,Villa Esperanza,Alabat,Quezon
4333,Villa Jesus Este,Alabat,Quezon
4333,Villa Jesus Weste,Alabat,Quezon
4333,Villa Norte,Alabat,Quezon
4333,Villa VIctoria,Alabat,Quezon
9501,Alegria,Alabel,Sarangani
9501,Bagacay,Alabel,Sarangani
9501,Baluntay,Alabel,Sarangani
9501,Datal Anggas,Alabel,Sarangani
9501,Domolok,Alabel,Sarangani
9501,Kawas,Alabel,Sarangani
9501,Ladol,Alabel,Sarangani
9501,Maribulan,Alabel,Sarangani
9501,Pag-Asa,Alabel,Sarangani
9501,Paraiso,Alabel,Sarangani
9501,Poblacion (Alabel),Alabel,Sarangani
9501,Spring,Alabel,Sarangani
9501,Tokawal,Alabel,Sarangani
9413,Bao,Alamada,Cotabato
9413,Barangiran,Alamada,Cotabato
9413,Camansi,Alamada,Cotabato
9413,Dado,Alamada,Cotabato
9413,Guiling,Alamada,Cotabato
9413,Kitacubong (Pob.),Alamada,Cotabato
9413,Lowedado,Alamada,Cotabato
9413,Macabasa,Alamada,Cotabato
9413,Malitubog,Alamada,Cotabato
9413,Mapurok,Alamada,Cotabato
9413,Mirasol,Alamada,Cotabato
9413,Pacao,Alamada,Cotabato
9413,Paruayan,Alamada,Cotabato
9413,Pigcawaran,Alamada,Cotabato
9413,Polayagan,Alamada,Cotabato
9413,Rangayen,Alamada,Cotabato
9413,Raradangan,Alamada,Cotabato
4001,Barangay I (Pob.),Alaminos,Laguna
4001,Barangay II (Pob.),Alaminos,Laguna
4001,Barangay III (Pob.),Alaminos,Laguna
4001,Barangay IV (Pob.),Alaminos,Laguna
4001,Del Carmen,Alaminos,Laguna
4001,Palma,Alaminos,Laguna
4001,San Agustin,Alaminos,Laguna
4001,San Andres,Alaminos,Laguna
4001,San Benito,Alaminos,Laguna
4001,San Gregorio,Alaminos,Laguna
4001,San Ildefonso,Alaminos,Laguna
4001,San Juan,Alaminos,Laguna
4001,San Miguel,Alaminos,Laguna
4001,San Roque,Alaminos,Laguna
4001,Santa Rosa,Alaminos,Laguna
2404,Alos,Alaminos City,Pangasinan
2404,Amandiego,Alaminos City,Pangasinan
2404,Amangbangan,Alaminos City,Pangasinan
2404,Balangobong,Alaminos City,Pangasinan
2404,Balayang,Alaminos City,Pangasinan
2404,Baleyadaan,Alaminos City,Pangasinan
2404,Bisocol,Alaminos City,Pangasinan
2404,Bolaney,Alaminos City,Pangasinan
2404,Bued,Alaminos City,Pangasinan
2404,Cabatuan,Alaminos City,Pangasinan
2404,Cayucay,Alaminos City,Pangasinan
2404,Dulacac,Alaminos City,Pangasinan
2404,Inerangan,Alaminos City,Pangasinan
2404,Landoc,Alaminos City,Pangasinan
2404,Linmansangan,Alaminos City,Pangasinan
2404,Lucap,Alaminos City,Pangasinan
2404,Maawi,Alaminos City,Pangasinan
2404,Macatiw,Alaminos City,Pangasinan
2404,Magsaysay,Alaminos City,Pangasinan
2404,Mona,Alaminos City,Pangasinan
2404,Palamis,Alaminos City,Pangasinan
2404,Pandan,Alaminos City,Pangasinan
2404,Pangapisan,Alaminos City,Pangasinan
2404,Poblacion,Alaminos City,Pangasinan
2404,Pocalpocal,Alaminos City,Pangasinan
2404,Pogo,Alaminos City,Pangasinan
2404,Polo,Alaminos City,Pangasinan
2404,Quibuar,Alaminos City,Pangasinan
2404,Sabangan,Alaminos City,Pangasinan
2404,San Antonio (R. Magsaysay),Alaminos City,Pangasinan
2404,San Jose,Alaminos City,Pangasinan
2404,San Roque,Alaminos City,Pangasinan
2404,San VIcente,Alaminos City,Pangasinan
2404,Santa Maria,Alaminos City,Pangasinan
2404,Tanaytay,Alaminos City,Pangasinan
2404,Tangcarang,Alaminos City,Pangasinan
2404,Tawintawin,Alaminos City,Pangasinan
2404,Telbang,Alaminos City,Pangasinan
2404,Victoria,Alaminos City,Pangasinan
6517,Aslum,Alangalang,Leyte
6517,Astorga (Burabod),Alangalang,Leyte
6517,Bato,Alangalang,Leyte
6517,Binongto-An,Alangalang,Leyte
6517,Binotong,Alangalang,Leyte
6517,Blumentritt (Pob.),Alangalang,Leyte
6517,Bobonon,Alangalang,Leyte
6517,Borseth,Alangalang,Leyte
6517,Buenavista,Alangalang,Leyte
6517,Bugho,Alangalang,Leyte
6517,Buri,Alangalang,Leyte
6517,Cabadsan,Alangalang,Leyte
6517,Calaasan,Alangalang,Leyte
6517,Cambahanon,Alangalang,Leyte
6517,Cambolao,Alangalang,Leyte
6517,Canvertudes,Alangalang,Leyte
6517,Capiz,Alangalang,Leyte
6517,Cavite,Alangalang,Leyte
6517,Cogon,Alangalang,Leyte
6517,Dapdap,Alangalang,Leyte
6517,Divisoria,Alangalang,Leyte
6517,Ekiran,Alangalang,Leyte
6517,Hinapolan,Alangalang,Leyte
6517,Holy Child I (Pob.),Alangalang,Leyte
6517,Holy Child II (Pob.),Alangalang,Leyte
6517,Hubang,Alangalang,Leyte
6517,Hupit,Alangalang,Leyte
6517,Langit,Alangalang,Leyte
6517,Lingayon,Alangalang,Leyte
6517,Lourdes,Alangalang,Leyte
6517,Lukay,Alangalang,Leyte
6517,Magsaysay,Alangalang,Leyte
6517,Milagrosa (Pob.),Alangalang,Leyte
6517,Mudboron,Alangalang,Leyte
6517,P. Barrantes,Alangalang,Leyte
6517,Pepita,Alangalang,Leyte
6517,Pe¿alosa,Alangalang,Leyte
6517,Salvacion,Alangalang,Leyte
6517,Salvacion Poblacion,Alangalang,Leyte
6517,San Antonio,Alangalang,Leyte
6517,San Antonio Pob. (Patong Norte),Alangalang,Leyte
6517,San Diego,Alangalang,Leyte
6517,San Francisco East,Alangalang,Leyte
6517,San Francisco West,Alangalang,Leyte
6517,San Isidro,Alangalang,Leyte
6517,San Pedro,Alangalang,Leyte
6517,San Roque (Pob.),Alangalang,Leyte
6517,San VIcente,Alangalang,Leyte
6517,Santiago,Alangalang,Leyte
6517,Santo Ni¿o (Pob.),Alangalang,Leyte
6517,Santol,Alangalang,Leyte
6517,Tabangohay,Alangalang,Leyte
6517,Tombo,Alangalang,Leyte
6517,Veteranos,Alangalang,Leyte
6542,Antipolo,Albuera,Leyte
6542,Balugo,Albuera,Leyte
6542,Benolho,Albuera,Leyte
6542,Cambalading,Albuera,Leyte
6542,Damula-An,Albuera,Leyte
6542,Do¿a Maria (Kangkuirina),Albuera,Leyte
6542,Mahayag,Albuera,Leyte
6542,Mahayahay,Albuera,Leyte
6542,Poblacion,Albuera,Leyte
6542,Salvacion,Albuera,Leyte
6542,San Pedro,Albuera,Leyte
6542,Seguinon,Albuera,Leyte
6542,Sherwood,Albuera,Leyte
6542,Tabgas,Albuera,Leyte
6542,Talisayan,Albuera,Leyte
6542,Tinag-An,Albuera,Leyte
6302,Bahi,Alburquerque,Bohol
6302,Basacdacu,Alburquerque,Bohol
6302,Cantiguib,Alburquerque,Bohol
6302,Dangay,Alburquerque,Bohol
